Pollen_type_SM_morphological,African_coast,Madagascar,South_Africa,Eastern_Tropical_Africa,Zambezian,Guineo-Congolian,Sudanian,Sahel,Sahara,Mediterranean,Temperate,Asia,Arabia,America,Australia,Exotic_Introduced,Cosmopolitan,Widespread,Reference #1,Reference #2,Reference #3,Reference #4,Reference #5,Reference #6,Reference #7,Reference #8,Observations
Musci,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Beyschlag, W. (2024). Bryophytes. In: Büdel, B., Friedl, T., Beyschlag, W. (eds) Biology of Algae, Lichens and Bryophytes. Springer Spektrum, Berlin, Heidelberg.",,,,,,,,
Mussaenda,,,,x,,x,x,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Myricaria,,,,,,,,,,x,x,x,,,,,,,Zhang et al. (2014) PloS one,,,,,,,,
Myriophyllum alterniflorum t.,,,,,,,,,,x,x,x,,x,,,,,Sarika-Hatziniklaou et al. (1994) Phyton-International Journal of Experimental Botany,,,,,,,,
Myriophyllum spicatum/verticillatum t.,,,x,,,x,x,,,x,x,,,,,,,,"Ghazanfar, S. A. & Edmondson, J. R (Eds). (2014) Flora of Iraq, Volume 5 Part 2: Lythraceae to Campanulaceae.",,,,,,,,"Ghazanfar, S. A. & Edmondson, J. R (Eds). (2014) Flora of Iraq, Volume 5 Part 2: Lythraceae to Campanulaceae: Throughout Europe and SW Asia, east to Afghanistan, Pakistan and N India; throughout N & C. Asia, Sumatra, China and Japan, Egypt, NW Africa, S & Tropical Africa, Macaronesia, Australia, N America."
Myriophyllum undif.,,x,x,x,x,x,,,,x,x,x,x,x,x,,,,"Ghazanfar, S. A. & Edmondson, J. R (Eds). (2014) Flora of Iraq, Volume 5 Part 2: Lythraceae to Campanulaceae.",,,,,,,,
Myrtaceae undif.,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Schüler, L., & Hemp, A. (2016). Atlas of pollen and spores and their parent taxa of Mt Kilimanjaro and tropical East Africa. Quaternary International, 425, 301–386. https://doi.org/10.1016/j.quaint.2016.07.038",,,,,,,,
Myrtus,,,,,,,,,x,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,"According to Watrin (2009) only Mediterranean, but Myrtus nivellei is endemic to the Saharan mountains"
Nauclea,,,,,x,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to Hely (2014) not in Sudanian region
Neptunia,,,x,x,,x,,,,,,,,,,,,,"Lewis, B. Schrire, B. MacKinder & M. Lock. (2005) Royal Botanic Gardens, Kew.",,,,,,,,
Nerium,,,,,,,,,x,x,,x,x,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS","Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,According to Thulin et al. (2008) cultivated worldwide
Neurada,,,,,,,,,x,,,,,,,,,,"Quézel, P. (1978). Analysis of the flora of Mediterranean and Saharan Africa. Annals of the Missouri Botanical Garden, 479-534.","White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,
Nitraria,,,,,,,,,x,x,,,,,,,,,"Quézel, P. (1978). Analysis of the flora of Mediterranean and Saharan Africa. Annals of the Missouri Botanical Garden, 479-534.","White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,
Nuphar,,,,,,,,,,x,x,x,,x,,,,,Padgett 2007 Rhodora,,,,,,,,
Nuxia t.,,,x,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Nyctaginaceae,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,
Nymphaea,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Nymphoides,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Ocimum,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,According to Hely (2014) in sudan-sahel
Oldenlandia,,,x,x,,,x,x,x,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Olea t.,,x,x,x,,x,,,x,x,,x,x,,x,,,,"Rugini, E., De Pace, C., Gutiérrez-Pesce, P., Muleo, R. (2011). Olea. In: Kole, C. (eds) Wild Crop Relatives: Genomic and Breeding Resources. Springer, Berlin, Heidelberg",,,,,,,,"According to Hely (2014) only in the Sahara, but according to White (1983) is also present in sudan-sahel. According to Watrin (2009) is mediterranean-mountainous"
Onagraceae,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"El Ghazali, G. E. B. (1993). A study on the pollen flora of Sudan. Review of Palaeobotany and Palynology, 76, 99-345.",,,,,,,,
Ongokea,,,,,,x,,,,,,,,,,,,,"Gosline G, Bidault E, van der Burgt X, et al. (2023). Scientific Data.",,,,,,,,
Ononis t.,,,,,,,,,,x,,,,,,,,,"Quézel, P. (1978). Analysis of the flora of Mediterranean and Saharan Africa. Annals of the Missouri Botanical Garden, 479-534.","White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,According to White (1983) is also in the Mediterranean-Sahara transition zone
Orchidaceae,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Utteridge, T., & Bramley, G. (2020). The Kew Tropical Plant Families Identification Handbook (2nd ed.). Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,
Ormocarpum t.,,,,x,,x,x,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Ostrya,,,,,,,,,,x,x,,x,x,,,,,"Watrin J., Lézine A.M, Hély C. (2009). Plant migration and plant communities at the time of the “green Sahara”. Comptes Rendus. Géoscience, Histoire climatique des déserts d'Afrique et d'Arabie, Volume 341. no. 8-9, pp. 656-670. doi:10.1016/j.crte.2009.06.007.  ",,,,,,,,
Osyris,,,x,x,,x,x,,,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,"Present in the Somalia-Masai area, Kalahari-Highveld Transition Zone, South Africa and the Mediterranean area"
Oxalis,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Oxyanthus,,,x,x,,x,,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Oxyria,,,,,,,,,,x,x,x,x,x,,,,,Marr et al. (2008) Journal of Biogeography; Luo et al. (2017) Molecular ecology,,,,,,,,
Paeonia,,,,,,,,,,x,x,x,x,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Sang, T. (1995). Phylogeny and biogeography of Paeonia (Paeoniaceae). The Ohio State University.",,,,,,,
Pancovia,,,,,,x,,,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,
Pandanus,,,,x,,x,,,,,,,,,,,,,"Utteridge, T. M. A., & Jennings, L. V. S. (2022). Trees of New Guinea. Kew Publishing, Royal Botanic Gardens, Kew.",,,,,,,,
Papaver t.,,,x,,,,,,,x,x,x,x,x,,,,,"Kadereit, J.W., Schwarzbach, A.E. & Jork, K.B. (1997). Pl Syst Evol",,,,,,,,
Paramacrolobium,,,,x,,x,,,,,,,,,,,,,"Lewis, B. Schrire, B. MacKinder & M. Lock. (2005) Royal Botanic Gardens, Kew.",,,,,,,,"WC Africa (Sierra Leone and Guineo to Congo, Cameroon, Cental African Republic, Congo [Kinshasa] and Angola) and disjunct to E Africa (lowland E Kenya and E Tanzania)"
Parkia,,,,x,,x,x,,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Parkinsonia,,,x,x,x,,,,,,,,,x,,,,,"Lewis, B. Schrire, B. MacKinder & M. Lock. (2005) Royal Botanic Gardens, Kew.",,,,,,,,
Parnassia,,,,,,,,,,x,x,x,x,x,,,,,"Quézel, P. (1978). Analysis of the flora of Mediterranean and Saharan Africa. Annals of the Missouri Botanical Garden, 479-534.","White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,
Paronychieae,,,x,x,,,,,x,x,x,x,x,x,x,,,,"Bartolucci, F., Domina, G., Bagella, S., Barberis, G., Briozzo, I., Calbi, M., Caria, M. C., Cavallaro, V., Chianese, G., Cibei, C., Conti, F., Dagnino, D., Esposito, A., Galasso, G., Giacanelli, V., Forte, L., Gottschlich, G., Lattanzi, E., Longo, D., Mei, G., Merli, M., Orsenigo, S., Pau, G. B., Pazienza, G., Peccenini, S., Pisanu, S., Rivieccio, G., Roma-Marzio, F., Scafidi, F., Selvi, F., Stinca, A., Turcato, C., & Nepi, C. (2020). Notulae to the Italian native vascular flora: 10. Italian Botanist, 10, 47-55. https://doi.org/10.3897/italianbotanist.10.60743","Brignone, N. F. (2022). Taxonomic study of Cardionema (Caryophyllaceae, Paronychioideae) for the Argentinean flora.","Chaudhri, M. N. (1968). A revision of the Paronychiinae. Mededelingen van het Botanisch Museum en Herbarium van de Rijksuniversiteit te Utrecht, 285(1), 3-440.","Ghazanfar, S. A. & Edmondson, J. R (Eds). (2016) Flora of Iraq, Volume 5 Part 1: Elatinaceae to Sphenocleaceae.
","Jepson, W. L. (1975). A manual of the flowering plants of California (illustrated, reprint ed.). University of California Press. ISBN: 0520006062, 9780520006065.






","Kool, A., Perrigo, A., & Thulin, M. (2012). Bristly versus juicy: Phylogenetic position and taxonomy of Sphaerocoma (Caryophyllaceae). Taxon, 61(1), 67-75.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS","Whittington, G., & Edwards, K. J. (2000). Illecebrum verticillatum L. in the outer Hebrides. Botanical Journal of Scotland, 52(1), 101-104.",
Parrotia,,,,,,,,,,,,,x,,,,,,Mao et al. 2024 Review of Palaeobotany and Palynology,,,,,,,,
Passifloraceae undif.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,"Proctor (2012). Flora of the Cayman Isands (Second Edition). Royal Botanic Gardens, Kew",,,,,,,,
Pausinystalia,,,,,,x,,,,,,,,,,,,,Stoffelen et al. (1996) Botanical Journal of the Linnean Society,,,,,,,,
Pavetta,,,x,x,,x,x,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,According to Hely (2014) only sudanian
Pavonia,,,x,x,,x,x,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,According to Hely (2014) only sudanian
Pedaliaceae undif.,,,x,x,,x,x,x,x,,,,,,,,,,"Ihlenfeldt, HD. (2004). Pedaliaceae. In: Kadereit, J.W. (eds) Flowering Plants · Dicotyledons. The Families and Genera of Vascular Plants, vol 7. Springer, Berlin, Heidelberg",,,,,,,,
Pedicularis,,,,,,,,,,x,x,x,x,x,,,,,Sprague (1962) Journal of Systematic and Floristic Botany,,,,,,,,
Peganum,,,,,,,,,x,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,
Pentodon,,,x,x,,x,x,,,,,,,,,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,Sudanian according to Hely (2014)
Periploca,,,,x,,x,x,x,x,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,
Persicaria,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,Funez and Hassemer 2017 Nordic Journal of Botany,,,,,,,,
Persicaria t.,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,,x,Funez and Hassemer 2017 Nordic Journal of Botany,,,,,,,,
Petaloid monocot,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,"Dahlgren, R. M., Clifford, H. T., & Yeo, P. F. (2012). The families of the monocotyledons: structure, evolution, and taxonomy. Springer Science & Business Media. Chicago",,,,,,,,
Phaseolus,,,,,,,,,,,,,,x,,x,,,"Lewis, B. Schrire, B. MacKinder & M. Lock. (2005) Royal Botanic Gardens, Kew.",,,,,,,,Cultivated worldwide
Phaulopsis,,,x,x,,x,x,,,,,,,,,,,,"Timberlake and Martins (2013). Flora Zambesiaca, Vol 8 (5) Acanthaceae Part 1. Royal Botanic Gardens, Kew",,,,,,,,
Phillyrea,,,,,,,,,x,x,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Phoenix t.,,x,x,x,x,x,x,x,x,,,x,x,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,"Widely cultivated as ornamentals, one species, Phoenix dactylifera, the date palm, is a major economic plant, now widespread in semi-arid areas as a fruit tree."
Phyla t.,,x,x,x,,x,x,x,,x,,x,x,x,x,,,,"Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS",,,,,,,,
Phyllanthus amarus,,,,,,,,,,,,,,x,,x,,,Smith (1987) Flora of Tropical East Africa.,,,,,,,,"According to Hély (2014): Sudanian-Sahel. P. amarus is native to America, but is now a circumtropical weed (Smith (1987) Flora of Tropical East Africa)"
Phyllanthus maderaspatensis,,,x,x,,,x,x,,,,,,,,,,,"Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,,In White (1983) is in The Kalahari-Highveld Transition Zone
Phyllanthus niruri,,,,,,,,,,,,,,x,,x,,,Kaur et al. (2017),,,,,,,,"P. niruri is a small annual herb found throughout the tropical and subtropical regions of both hemispheres. In Asia, America and China, it can be found growing rapidly as a field weed."
Phyllanthus undif.,x,x,x,x,,x,x,x,,,,x,x,x,x,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Thulin, M., et al. (2008). Flora of Somalia, Vol. 1-4. https://plants.jstor.org/collection/FLOS","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,According to White (1983) also Guineo-congolian and eastern tropical Africa and South Africa
Picea,,,,,,,,,,x,x,x,,x,,,,,Lee (2001) Encyclopedia of Biodiversity (Second Edition),,,,,,,,
Piliostigma,,,,x,,x,x,x,,,,,,,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.","Hély, C., Lézine, A.-M., & Contributors, A. (2014). Holocene changes in African vegetation: Tradeoff between climate and water availability. Clim. Past, 10, 681–686. https://doi.org/10.5194/cp-10-681-2014",,,,,,,According to Hély (2014) only Sudanian-Sahel
Pinus,,,,,,,,,,x,x,x,x,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
Pinus mediterranea,,,,,,,,,,x,,,,,,,,,Richardson 2000 Cambridge University Press,,,,,,,,
Pinus nigra/sylvestris t.,,,,,,,,,,x,x,,,,,,,,"Krakau, UK., Liesebach, M., Aronen, T., Lelu-Walter, MA., Schneck, V. (2013). Scots Pine (Pinus sylvestris L.). In: Pâques, L. (eds) Forest Tree Breeding in Europe. Managing Forest Ecosystems, vol 25",,,,,,,,
Pinus pinaster,,,,,,,,,,x,,,,,,,,,Scott (1962) Forestry Abstracts,,,,,,,,
Pinus undif.,,,,,,,,,,x,x,x,x,x,,,,,"White, F. (1983). The Vegetation of Africa: A Descriptive Memoir to Accompany the UNESCO/AETFAT/UNSO Vegetation Map of Africa (3 Plates, Northwestern Africa, Northeastern Africa, and Southern Africa, 1:5,000,000). UNESCO.",,,,,,,,
